,SMW,SMFCF,K0,SOPE,KSUB,longitude,latitude
502,0.09265820400000001,0.222398598,1.2825744209999999,118.38432,79.64036073,-79.6,47.8
504,0.09265820400000001,0.222398598,1.2825744209999999,118.38432,79.64036073,-94.0,48.7
506,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-112.0,46.2
508,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-105.7,38.9
513,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-78.4,48.8
517,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-76.7,44.3
519,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-106.7,38.3
525,0.134714831,0.287740495,0.6133061870000001,84.588096,56.90471913,-109.8,44.1
528,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-80.7,43.0
531,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-80.4,43.4
534,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-103.9,44.1
538,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-84.6,38.1
541,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-86.5,35.9
545,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-77.7,39.7
547,0.12788919,0.263938845,0.6796082059999999,104.04652800000001,69.99493702,-121.6,37.2
550,0.175117296,0.321459762,0.291683325,80.662272,54.26371025,-118.9,34.2
553,0.12054398599999999,0.22981085899999998,0.761390212,134.17296000000002,90.26180945,-120.9,37.6
556,0.07010632,0.153184519,1.8422085819999998,168.225216,113.16969080000001,-120.0,35.7
560,0.19224205600000002,0.327525119,0.217131043,90.56217600000001,60.92364567,-100.2,35.2
563,0.180454007,0.30933969899999997,0.278232838,101.74224,68.44477964,-98.6,32.9
565,0.139599671,0.273844245,0.554494406,103.534464,69.65045759999998,-98.5,27.9
568,0.145347335,0.27685035399999997,0.502034867,105.41203200000001,70.9135488,-97.9,27.9
570,0.145347335,0.27685035399999997,0.502034867,105.41203200000001,70.9135488,-98.8,30.7
572,0.180454007,0.30933969899999997,0.278232838,101.74224,68.44477964,-96.7,31.7
573,0.180454007,0.30933969899999997,0.278232838,101.74224,68.44477964,-120.3,37.0
574,0.180454007,0.30933969899999997,0.278232838,101.74224,68.44477964,-99.0,29.0
575,0.11119861699999999,0.26305175399999997,0.9056390870000001,92.013024,61.89967069,-90.4,33.8
577,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-83.7,41.4
580,0.18098010399999997,0.331130794,0.257588816,74.00544000000001,49.78547782,-82.6,28.9
584,0.145072869,0.27097563199999997,0.505149968,111.812832,75.21954153,-101.9,33.8
587,0.10054317,0.18362578699999998,1.10761659,164.811456,110.87316129999999,-103.1,32.9
589,0.09265820400000001,0.222398598,1.2825744209999999,118.38432,79.64036073,-80.1,43.2
593,0.096444969,0.203907327,1.1584407840000002,139.46428799999998,93.82143011,-83.9,39.0
597,0.11700112900000001,0.267603219,0.835501437,91.75699200000001,61.72743098,-84.5,40.4
599,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-83.7,41.7
603,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-88.7,35.8
605,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-88.1,44.2
608,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-90.3,45.0
613,0.110137021,0.24500210100000003,0.9260150770000001,109.081824,73.38231796,-91.1,43.6
616,0.110137021,0.24500210100000003,0.9260150770000001,109.081824,73.38231796,-87.5,38.5
619,0.134050319,0.271293469,0.6227738110000001,101.656896,68.3873664,-85.5,42.1
623,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-93.8,46.1
627,0.10400667400000001,0.23562762,1.0521100620000001,113.605056,76.42521949,-90.7,35.2
629,0.037240447999999995,0.155676761,3.30655751,139.891008,94.10849629,-116.8,46.8
632,0.134050319,0.271293469,0.6227738110000001,101.656896,68.3873664,-91.8,41.0
637,0.135191914,0.29831552,0.606807655,73.920096,49.72806458,-82.1,40.7
640,0.10400667400000001,0.23562762,1.0521100620000001,113.605056,76.42521949,-90.2,36.0
642,0.10400667400000001,0.23562762,1.0521100620000001,113.605056,76.42521949,-90.0,34.3
644,0.134050319,0.271293469,0.6227738110000001,101.656896,68.3873664,-76.9,42.8
647,0.180826707,0.322763101,0.264387103,84.67344,56.96213236,-90.0,32.7
650,0.134050319,0.271293469,0.6227738110000001,101.656896,68.3873664,-90.2,38.8
652,0.134714831,0.287740495,0.6133061870000001,84.588096,56.90471913,-100.1,48.9
654,0.23910506,0.37778441,0.09782600699999999,71.44511999999999,48.06308073,-81.1,29.6
655,0.134050319,0.271293469,0.6227738110000001,101.656896,68.3873664,-94.1,48.1
658,0.23910506,0.37778441,0.09782600699999999,71.44511999999999,48.06308073,-81.6,28.9
661,0.034341296,0.124058509,3.5706784369999998,167.62780800000002,112.7677981,-71.1,42.3
662,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-72.1,42.4
665,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-72.7,41.8
668,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-69.9,43.9
672,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-73.1,42.9
